Timestamp,L 1,L 2,L 3,L 4,L 5,L 6,L 7,L 8
2025-03-10 09:56:16,885.0,934.0,608.0,920.0,855.0,582.0,792.0,750.0
2025-03-10 09:56:18,969.0,632.0,828.0,511.0,887.0,742.0,839.0,966.0
2025-03-10 09:56:20,689.0,962.0,996.0,920.0,933.0,859.0,561.0,703.0
2025-03-10 09:56:22,796.0,658.0,861.0,651.0,914.0,714.0,658.0,786.0
2025-03-10 09:56:24,768.0,972.0,931.0,900.0,743.0,716.0,655.0,953.0
2025-03-10 09:56:26,819.0,534.0,751.0,502.0,904.0,998.0,773.0,932.0
2025-03-10 09:56:28,944.0,591.0,662.0,603.0,629.0,508.0,579.0,968.0
2025-03-10 09:56:30,703.0,764.0,711.0,676.0,742.0,891.0,907.0,728.0
2025-03-10 09:56:32,620.0,776.0,876.0,637.0,508.0,728.0,897.0,756.0
2025-03-10 09:56:34,640.0,760.0,999.0,815.0,958.0,952.0,566.0,935.0
2025-03-10 09:56:36,555.0,965.0,708.0,703.0,765.0,892.0,511.0,859.0
2025-03-10 09:56:38,700.0,973.0,722.0,541.0,725.0,663.0,799.0,827.0
2025-03-10 09:56:40,971.0,652.0,847.0,709.0,910.0,603.0,832.0,708.0
2025-03-10 09:56:42,755.0,552.0,725.0,556.0,530.0,796.0,784.0,820.0
2025-03-10 09:56:44,623.0,540.0,869.0,609.0,616.0,894.0,751.0,854.0
2025-03-10 09:56:46,748.0,786.0,765.0,509.0,598.0,847.0,625.0,549.0
2025-03-10 09:56:48,621.0,715.0,796.0,917.0,932.0,885.0,787.0,545.0
2025-03-10 09:56:50,596.0,772.0,615.0,555.0,768.0,572.0,976.0,912.0
2025-03-10 09:56:52,638.0,526.0,950.0,533.0,705.0,547.0,913.0,549.0
2025-03-10 09:56:54,548.0,560.0,678.0,664.0,620.0,610.0,905.0,959.0
2025-03-10 09:56:56,946.0,629.0,707.0,805.0,746.0,632.0,925.0,966.0
2025-03-10 09:56:58,752.0,615.0,619.0,615.0,792.0,906.0,855.0,882.0
2025-03-10 09:57:00,588.0,797.0,803.0,857.0,894.0,672.0,928.0,705.0
2025-03-10 09:57:02,933.0,774.0,949.0,631.0,691.0,599.0,856.0,982.0
2025-03-10 09:57:04,894.0,668.0,799.0,668.0,712.0,800.0,934.0,761.0
2025-03-10 09:57:06,916.0,626.0,859.0,698.0,572.0,939.0,676.0,657.0
2025-03-10 09:57:08,608.0,625.0,636.0,637.0,844.0,781.0,686.0,511.0
2025-03-10 09:57:10,882.0,763.0,775.0,614.0,783.0,667.0,805.0,507.0
2025-03-10 09:57:12,529.0,920.0,975.0,922.0,685.0,583.0,897.0,629.0
2025-03-10 09:57:14,567.0,915.0,581.0,876.0,757.0,511.0,735.0,942.0
2025-03-10 09:57:16,736.0,515.0,801.0,849.0,892.0,680.0,774.0,554.0
2025-03-10 09:57:18,719.0,683.0,778.0,693.0,707.0,530.0,587.0,747.0
2025-03-10 09:57:20,532.0,603.0,556.0,627.0,562.0,629.0,556.0,839.0
2025-03-10 09:57:22,798.0,762.0,767.0,940.0,767.0,589.0,558.0,995.0
2025-03-10 09:57:24,909.0,712.0,613.0,585.0,723.0,616.0,716.0,514.0
2025-03-10 09:57:26,715.0,821.0,738.0,620.0,869.0,594.0,924.0,870.0
2025-03-10 09:57:28,531.0,595.0,727.0,941.0,583.0,724.0,867.0,561.0
2025-03-10 09:57:30,612.0,929.0,736.0,717.0,655.0,714.0,654.0,551.0
2025-03-10 09:57:32,636.0,501.0,888.0,685.0,826.0,979.0,564.0,618.0
2025-03-10 09:57:34,523.0,787.0,969.0,631.0,934.0,740.0,752.0,547.0
